state,2020 legal status,2020 Legal Status Code,City,Population,Violent Crime,Murder and nonnegligent manslaughter,Rape2,Robbery,Aggravated assault,Property Crime Total,Burglary,Larceny-theft,Motor vehicle theft,Arson3
Alabama,Illegal,1,Cedar Bluff,"1,823",4,0,0,0,4,36,7,26,3,
Alabama,Illegal,1,Centre,"3,547",20,0,4,0,16,124,12,97,15,
Alabama,Illegal,1,Daleville,"5,080",16,0,0,1,15,98,19,72,7,
Alabama,Illegal,1,Enterprise,"28,569",128,2,17,9,100,715,97,570,48,
Alabama,Illegal,1,Eufaula,"11,568",95,3,9,15,68,456,95,318,43,
Alabama,Illegal,1,Glencoe,"5,063",10,0,1,0,9,41,7,32,2,
Alabama,Illegal,1,Hokes Bluff,"4,254",6,0,1,0,5,33,17,15,1,
Alabama,Illegal,1,Jackson,"4,583",29,1,1,1,26,83,12,68,3,
Alabama,Illegal,1,Kimberly,"3,660",6,0,0,0,6,20,1,17,2,
Alabama,Illegal,1,Leesburg,"1,014",2,0,0,0,2,18,8,8,2,
Alabama,Illegal,1,Leighton,754,12,0,2,0,10,36,11,20,5,
Alabama,Illegal,1,Marion,"3,067",5,0,0,0,5,12,8,3,1,
Alabama,Illegal,1,Odenville,"3,915",11,0,2,2,7,46,9,26,11,
Alabama,Illegal,1,Piedmont,"4,501",23,0,3,0,20,92,22,59,11,
Alabama,Illegal,1,Rainbow City,"9,610",6,0,2,0,4,86,17,60,9,
Alabama,Illegal,1,Rogersville,"1,250",4,0,0,0,4,29,9,17,3,
Alabama,Illegal,1,Saraland,"14,751",30,1,1,2,26,470,46,403,21,
Alabama,Illegal,1,Thomasville,"3,799",18,0,1,0,17,112,22,82,8,
Alaska,Recreational,4,Anchorage,"286,388","3,472",18,558,558,"2,338","9,872","1,444","7,279","1,149",73
Alaska,Recreational,4,Bethel,"6,642",93,0,43,2,48,71,21,35,15,5
Alaska,Recreational,4,Bristol Bay Borough,817,4,0,0,0,4,9,5,0,4,0
Alaska,Recreational,4,Cordova,"2,161",0,0,0,0,0,6,3,3,0,1
Alaska,Recreational,4,Craig,"1,268",3,0,0,0,3,12,2,10,0,1
Alaska,Recreational,4,Dillingham,"2,364",22,0,1,0,21,25,7,14,4,1
Alaska,Recreational,4,Fairbanks,"30,832",260,3,24,41,192,"1,276",171,908,197,16
Alaska,Recreational,4,Haines,"2,524",5,0,1,0,4,23,5,16,2,1
Alaska,Recreational,4,Homer,"6,028",17,0,1,0,16,101,11,79,11,0
Alaska,Recreational,4,Juneau,"31,925",296,1,76,40,179,946,152,748,46,7
Alaska,Recreational,4,Kenai,"7,885",35,1,10,1,23,148,14,128,6,2
Alaska,Recreational,4,Ketchikan,"8,307",37,1,12,2,22,250,23,213,14,0
Alaska,Recreational,4,Kodiak,"5,778",33,0,3,3,27,91,10,73,8,1
Alaska,Recreational,4,Kotzebue,"3,249",22,2,1,0,19,6,2,3,1,0
Alaska,Recreational,4,Nome,"3,900",164,2,94,5,63,72,8,56,8,0
Alaska,Recreational,4,North Pole,"2,090",14,0,1,1,12,56,8,38,10,1
Alaska,Recreational,4,North Slope Borough,"9,836",126,1,17,0,108,53,17,26,10,1
Alaska,Recreational,4,Palmer,"7,641",18,0,2,2,14,84,10,66,8,1
Alaska,Recreational,4,Petersburg,"3,259",8,0,0,0,8,84,12,70,2,0
Alaska,Recreational,4,Seward,"2,806",9,0,3,1,5,59,10,41,8,0
Alaska,Recreational,4,Skagway,"1,206",1,0,0,0,1,0,0,0,0,0
Alaska,Recreational,4,Soldotna,"4,782",7,0,1,1,5,89,6,78,5,2
Alaska,Recreational,4,Unalaska,"4,439",9,0,0,0,9,54,1,53,0,0
Alaska,Recreational,4,Valdez,"3,841",7,0,2,0,5,36,3,33,0,0
Alaska,Recreational,4,Wasilla,"11,228",78,0,9,5,64,341,27,285,29,0
Alaska,Recreational,4,Wrangell,"2,508",2,0,1,0,1,12,3,6,3,0
Arizona,Medical,2,Apache Junction,"43,385",93,2,10,10,71,770,133,549,88,6
Arizona,Medical,2,Avondale,"89,338",310,1,14,59,236,"3,025",251,"2,552",222,16
Arizona,Medical,2,Buckeye,"83,608",145,1,41,18,85,"1,184",141,952,91,2
Arizona,Medical,2,Bullhead City,"41,035",108,1,4,20,83,"1,110",193,819,98,16
