,City,Legal Status,Legal Status Code,Population,Violent Crime per Capita,Rape per Capita,Robbery per Capita,Aggravated Assault per Capita,Property Crime Total per Capita,Burglary per Capita,Larceny-Theft per Capita,Motor Vehicle Theft per Capita
0,Cedar Bluff,Illegal,1.0,1823.0,0.0021941854086670325,0.0,0.0,0.0021941854086670325,0.019747668678003292,0.0038398244651673065,0.01426220515633571,0.0016456390565002743
1,Centre,Illegal,1.0,3547.0,0.00563856780377784,0.001127713560755568,0.0,0.004510854243022272,0.03495912038342261,0.0033831406822667043,0.027347053848322526,0.00422892585283338
2,Daleville,Illegal,1.0,5080.0,0.0031496062992125984,0.0,0.0001968503937007874,0.002952755905511811,0.019291338582677165,0.0037401574803149606,0.014173228346456693,0.0013779527559055118
3,Enterprise,Illegal,1.0,28569.0,0.004480380832370751,0.0005950505792992405,0.0003150267772760685,0.0035002975252896498,0.025027127305820993,0.0033952885995309602,0.019951695894151,0.0016801428121390317
4,Eufaula,Illegal,1.0,11568.0,0.008212309820193638,0.0007780082987551867,0.0012966804979253112,0.005878284923928077,0.03941908713692946,0.008212309820193638,0.027489626556016597,0.0037171507607192253
5,Glencoe,Illegal,1.0,5063.0,0.0019751135690302193,0.00019751135690302193,0.0,0.0017776022121271974,0.0080979656330239,0.0013825794983211535,0.006320363420896702,0.00039502271380604387
6,Hokes Bluff,Illegal,1.0,4254.0,0.0014104372355430183,0.00023507287259050304,0.0,0.0011753643629525152,0.007757404795486601,0.003996238834038552,0.003526093088857546,0.00023507287259050304
7,Jackson,Illegal,1.0,4583.0,0.006327732926030984,0.0002181976871045167,0.0002181976871045167,0.005673139864717434,0.018110408029674886,0.0026183722452542005,0.014837442723107134,0.0006545930613135501
8,Kimberly,Illegal,1.0,3660.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.00546448087431694,0.000273224043715847,0.004644808743169399,0.000546448087431694
9,Leesburg,Illegal,1.0,1014.0,0.0019723865877712033,0.0,0.0,0.0019723865877712033,0.01775147928994083,0.007889546351084813,0.007889546351084813,0.0019723865877712033
